ID,purpose,n_car,n_bicycle,n_motorcycle,avail_car,avail_taxi,avail_bus,avail_rail,avail_cycling,avail_walking,total_car_cost,taxi_cost,day_of_the_week_start,city.leeds,city.westyorkshire,city.elsewhereuk,city.na,female,age,british_origin,o_level,a_level,voc_qual,masters,phd,occ,occ_full_time,nb_hh_employed,mar,hh_size,income_perso,car_distance_km,bus_distance_km,rail_distance_km,taxi_distance_km,cycling_distance_km,walking_distance_km,car_travel_time_min,bus_travel_time_min,rail_travel_time_min,taxi_travel_time_min,cycling_travel_time_min,walking_travel_time_min,bus_IVT_time_min,bus_access_egress_time_min,rail_IVT_time_min,rail_access_egress_time_min,choice,bus_transfers,rail_transfers,income_hh,bus_cost_total_per_leg,rail_cost_total_per_leg
1,Primary Workplace,1,1,0,1,1,1,1,0,0,3.668679878,21.89265208,Wednesday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,26.595,22.278,22.592,26.595,21.388,17.63,61,80.01666667,40.76666667,61,66.36666667,221.0666667,61.75,2.55,21,15.76666667,3,2,1,6,2.071232877,4.065478481
1,Home,1,1,0,0,1,0,1,1,0,0.671731041,6.451281667,Wednesday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,5.428,6.196,6.196,5.428,5.437,5.366,10.76666667,18.91666667,18.91666667,10.76666667,23.51666667,67.71666667,5,13.91666667,5,13.91666667,3,NA,0,6,2.071232877,4.065478481
1,Primary Workplace,1,1,0,1,1,1,1,0,0,6.676555776,17.13159458,Thursday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,19.681,19.692,23.318,19.681,21.608,17.377,47.35,82.8,64.06666667,47.35,68.48333333,218.8333333,58.96666667,5.083333333,19,22.06666667,3,1,1,6,0.517808219,2.710318988
1,Errands without Appointment,1,1,0,0,0,1,0,0,1,0.464469646,3.559202917,Thursday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,0.861,0.627,0.627,0.861,0.675,0.627,4.216666667,6.833333333,0,4.216666667,3.45,8.066666667,1,5.833333333,NA,NA,6,0,NA,6,0.517808219,NA
1,Home,1,1,0,0,1,0,1,0,0,2.397292221,15.83018792,Thursday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,20.553,18.396,18.396,20.553,22.37,17.373,30.51666667,20.96666667,20.96666667,30.51666667,71.78333333,219.6166667,11,9.966666667,11,9.966666667,3,NA,0,6,0.517808219,2.710318988
1,Home,1,1,0,0,1,1,1,1,1,0.300804235,4.35025875,Thursday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,2.263,4.133,4.734,2.263,2.281,2.22,5.283333333,27.51666667,16.21666667,5.283333333,11.98333333,29.58333333,16.38333333,11.03333333,3,13.2,6,0,0,6,0.517808219,2.710318988
1,Dropoff K12,1,1,0,0,0,1,0,1,1,0.2194367,3.923395417,Friday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,1.747,1.835,1.623,1.747,1.746,1.623,3.566666667,18.8,0,3.566666667,7.366666667,20.48333333,3,15.7,NA,NA,6,0,NA,6,1.035616438,NA
1,Home,1,1,0,0,0,1,0,1,1,0.22184102,3.941502917,Friday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,1.721,1.85,1.622,1.721,1.721,1.622,3.866666667,19.73333333,0,3.866666667,7.583333333,21.21666667,1.166666667,18.53333333,NA,NA,6,0,NA,6,1.035616438,NA
1,Family Activity,1,1,0,1,1,1,1,1,0,0.782767369,7.150776667,Saturday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,6.192,7.093,10.609,6.192,5.913,5.189,13.96666667,42.75,39,13.96666667,19.38333333,63.11666667,18.23333333,17.86666667,9,25,1,1,1,6,2.071232877,8.130956963
1,OtherPurpose,1,1,0,1,1,1,0,1,1,0.338100114,4.781399583,Sunday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,2.577,3.012,2.565,2.577,2.576,2.565,8,24.35,0,8,12.03333333,32.63333333,3.7,20.5,NA,NA,1,0,NA,6,2.071232877,NA
1,Primary Workplace,1,1,0,1,1,1,1,1,1,0.269286844,4.521466667,Monday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,2.06,2.303,5.034,2.06,1.949,1.949,7.916666667,10.31666667,18.13333333,7.916666667,7.183333333,23.51666667,6.966666667,2,3,15.11666667,3,0,0,6,0.414246575,2.710318988
1,Primary Workplace,1,1,0,0,1,1,1,0,0,9.260508558,17.34064667,Monday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,21.056,17.692,18.7,21.056,21.727,17.429,42.86666667,62.45,30.46666667,42.86666667,69.01666667,219.5666667,55.23333333,7.216666667,15,15.46666667,3,0,0,6,0.414246575,2.710318988
1,Grocery,1,1,0,0,1,1,0,0,1,0.589015062,5.381755833,Monday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,2.842,1.026,0.934,2.842,1.221,0.934,12.6,8.816666667,0,12.6,4.166666667,11.3,2,6.816666667,NA,NA,6,0,NA,6,0.414246575,NA
1,Primary Workplace,1,1,0,0,0,1,0,0,1,4.439232533,3.609532083,Monday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,0.831,0.793,0.648,0.831,0.831,0.648,4.85,8.4,0,4.85,3.783333333,8.25,1,7.166666667,NA,NA,6,0,NA,6,0.414246575,NA
1,Home,1,1,0,0,1,1,1,0,0,2.384168278,17.14342375,Monday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,19.751,23.382,23.067,19.751,21.161,17.442,47.13333333,101.6666667,53.35,47.13333333,73.35,224.3,87,5.566666667,14,22.3,3,1,1,6,0.414246575,2.710318988
1,Family Activity,1,1,0,1,1,1,1,0,0,2.310398607,17.05794333,Tuesday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,18.992,21.632,23.252,18.992,20.402,16.68,49.9,98.78333333,58.86666667,49.9,70.36666667,214.8166667,72.48333333,18.2,16,21.85,1,1,1,6,2.071232877,8.130956963
1,Primary Workplace,1,1,0,1,1,1,1,0,0,2.99151365,17.45121708,Wednesday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,23.163,19.736,22.683,23.163,21.376,17.577,33.95,87,42,33.95,67.58333333,220.6333333,65.75,4.983333333,21,16.98333333,3,1,1,6,1.035616438,4.065478481
1,Primary Workplace,1,1,0,0,1,0,0,0,1,0.475353267,3.782065,Wednesday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,0.968,0.675,0.675,0.968,0.725,0.675,5.883333333,0,0,5.883333333,4.083333333,8.7,NA,NA,NA,NA,6,NA,NA,6,NA,NA
1,Home,1,1,0,0,1,1,1,0,0,2.626204506,16.95933833,Wednesday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,22.436,24.707,23.34,22.436,21.19,17.402,32.6,87.81666667,59.66666667,32.6,73.41666667,223.7333333,48.38333333,26.86666667,16,22.65,3,1,1,6,1.035616438,4.065478481
1,Primary Workplace,1,1,0,0,1,1,1,0,0,10.37529778,17.03514042,Thursday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,19.711,21.282,23.11,19.711,21.635,17.378,46.26666667,96.53333333,54.51666667,46.26666667,68.66666667,218.8833333,84.25,5.5,18,22.5,3,1,1,6,1.035616438,4.065478481
1,Home,1,1,0,0,1,1,1,0,0,2.624041807,16.99107375,Thursday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,22.431,23.422,23.364,22.431,21.201,17.437,32.93333333,92.11666667,48.08333333,32.93333333,73.43333333,224.1,80,6.033333333,17,23.06666667,3,1,1,6,1.035616438,4.065478481
1,Primary Workplace,1,1,0,1,1,1,1,0,0,10.65656548,17.67133,Friday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,22.776,23.257,23.355,22.776,21.656,17.361,37.93333333,75.75,64.61666667,37.93333333,68.78333333,218.6833333,54.16666667,16.28333333,19,22.61666667,3,1,1,6,1.035616438,4.065478481
1,Home,1,1,0,0,1,1,1,0,0,2.392013624,17.27438875,Friday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,19.799,22.088,23.359,19.799,21.209,17.424,48.18333333,94.36666667,47.86666667,48.18333333,73.43333333,223.95,81.18333333,5.2,17,22.85,3,1,1,6,1.035616438,4.065478481
1,Restaurant,1,1,0,1,1,1,1,1,0,1.690187902,12.22848125,Saturday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,14.365,17.93,17.399,14.365,17.053,13.071,24.73333333,57.11666667,72.01666667,24.73333333,55.45,162.4166667,40.53333333,10.73333333,12,36.01666667,1,1,1,6,2.071232877,8.130956963
1,OtherPurpose,1,1,0,1,1,1,0,1,1,0.333202945,4.663589167,Sunday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,2.542,2.978,2.529,2.542,2.541,2.529,7.016666667,23.91666667,0,7.016666667,11.95,32.21666667,3.7,20.08333333,NA,NA,1,0,NA,6,2.071232877,NA
1,Home,1,1,0,0,0,0,0,1,1,0.222016956,3.952725417,Monday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,1.723,1.624,1.624,1.723,1.723,1.624,3.966666667,0,0,3.966666667,7.583333333,21.25,NA,NA,NA,NA,6,NA,NA,6,NA,NA
1,Primary Workplace,1,1,0,1,1,1,1,0,0,3.161713386,20.95025917,Tuesday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,26.266,19.503,22.849,26.266,21.34,17.579,53.36666667,86.23333333,58.06666667,53.36666667,67.41666667,220.05,63.75,6.233333333,19,16.06666667,3,1,1,6,1.035616438,4.065478481
1,Home,1,1,0,0,1,0,1,0,0,2.37753356,17.28348583,Tuesday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,19.498,22.021,22.682,19.498,20.135,17.464,49.7,44.01666667,40,49.7,70.21666667,224.7,29,9.2,17,15,3,NA,1,6,1.035616438,4.065478481
1,Primary Workplace,1,1,0,1,1,1,1,0,0,2.688646004,17.16075292,Wednesday,0,1,0,0,0,4,1,1,1,1,0,0,16,1,1,2,3,4,23.321,23.557,20.857,23.321,20.375,17.052,30.36666667,82.88333333,48.7,30.36666667,62.01666667,211.9833333,62.61666667,4.966666667,23.76666667,18.23333333,3,2,1,6,2.071232877,8.130956963
2,Exercise,2,0,0,1,1,1,0,0,1,0.348918526,4.718389167,Monday,1,0,0,0,0,7,1,1,1,0,0,0,15,0,0,2,1,3,2.602,2.509,2.509,2.602,2.477,2.225,7.266666667,15.06666667,15.06666667,7.266666667,9.216666667,28.28333333,4.2,10.83333333,4.2,10.83333333,1,0,NA,3,1.5,1.5
2,Social,2,0,0,1,1,1,1,0,0,1.002834946,8.412204167,Monday,1,0,0,0,0,7,1,1,1,0,0,0,15,0,0,2,1,3,8.47,10.419,21.244,8.47,7.64,7.569,15.46666667,52.35,63.16666667,15.46666667,27.5,93.56666667,25.48333333,12.11666667,25,30.15,1,2,1,3,6.1,9
2,Restaurant,2,0,0,1,1,1,1,0,0,1.11242331,8.92105,Tuesday,1,0,0,0,0,7,1,1,1,0,0,0,15,0,0,2,1,3,9.26,17.061,17.616,9.26,9.26,9.001,16.68333333,64.93333333,72.45,16.68333333,34.81666667,112.6666667,43.08333333,10.8,33.98333333,22.03333333,1,1,1,3,5.7,14.3
2,Clothes shopping,2,0,0,1,1,1,0,0,0,0.624151177,6.232843333,Tuesday,1,0,0,0,0,7,1,1,1,0,0,0,15,0,0,2,1,3,5.172,6.559,4.724,5.172,5.18,4.746,9.85,34.45,36.61666667,9.85,15.5,56.86666667,17.58333333,1.816666667,7.2,28.91666667,1,1,NA,3,4.6,2.3
2,Grocery,2,0,0,1,1,1,1,0,0,1.332500628,10.33668792,Tuesday,1,0,0,0,0,7,1,1,1,0,0,0,15,0,0,2,1,3,11.553,10.334,12.458,11.553,10.338,9.099,19.61666667,52.6,49.38333333,19.61666667,28.63333333,109.3333333,39,7.883333333,13,36.33333333,1,1,0,3,4.6,4.5
2,Restaurant,2,0,0,0,1,1,0,0,1,2.318817319,5.323336667,Tuesday,1,0,0,0,0,7,1,1,1,0,0,0,15,0,0,2,1,3,3.024,1.295,1.001,3.024,1.111,1.001,11.16666667,6.616666667,0,11.16666667,5.6,13.26666667,3.633333333,2.816666667,NA,NA,6,0,NA,3,1.5,NA
2,Shopping - Major,2,0,0,1,1,1,1,0,0,1.213056826,9.511035,Wednesday,1,0,0,0,0,7,1,1,1,0,0,0,15,0,0,2,1,3,10.252,16.819,29.966,10.252,12.083,9.368,17.73333333,73,85,17.73333333,43.66666667,118.25,56.06666667,5.916666667,28,33.01666667,1,1,2,3,5.7,23.8
2,Shopping - Major,2,0,0,1,1,1,1,0,0,1.409100747,10.66681792,Wednesday,1,0,0,0,0,7,1,1,1,0,0,0,15,0,0,2,1,3,11.589,11.82,23.56,11.589,11.528,11.152,22.66666667,39.9,66.9,22.66666667,36.18333333,135.55,26.53333333,13.35,27.9,16.61666667,1,0,2,3,3.4,22.3
2,Cinema or other night out,2,0,0,1,1,1,0,0,0,0.810070665,7.2911825,Wednesday,1,0,0,0,0,7,1,1,1,0,0,0,15,0,0,2,1,3,6.414,5.083,5.083,6.414,5.677,5.34,14.28333333,25.7,25.7,14.28333333,17.68333333,65.91666667,10,15.68333333,10,15.68333333,1,0,NA,3,2.3,2.3
2,Restaurant,2,0,0,1,1,1,0,0,1,0.340726188,4.624362083,Thursday,1,0,0,0,0,7,1,1,1,0,0,0,15,0,0,2,1,3,2.507,2.72,2.137,2.507,2.141,2.137,6.8,21.06666667,0,6.8,7.966666667,26.08333333,3.65,17.41666667,NA,NA,1,0,NA,3,1.5,NA
2,Errands without Appointment,2,0,0,1,1,1,0,0,1,0.396621226,5.0110775,Thursday,1,0,0,0,0,7,1,1,1,0,0,0,15,0,0,2,1,3,2.958,3.146,3.146,2.958,2.958,2.83,8.433333333,17.03333333,17.03333333,8.433333333,8.033333333,33.71666667,6.45,10.58333333,6.45,10.58333333,1,0,NA,3,2.3,2.3
2,Social,2,0,0,1,1,1,0,0,1,0.306826708,4.45218625,Thursday,1,0,0,0,0,7,1,1,1,0,0,0,15,0,0,2,1,3,2.441,3.15,2.358,2.441,2.496,2.358,5.433333333,17.61666667,0,5.433333333,9.033333333,30.08333333,9.466666667,0.283333333,NA,NA,1,1,NA,3,3.8,NA
2,Restaurant,2,0,0,1,1,1,1,0,0,3.421603069,21.4468125,Thursday,1,0,0,0,0,7,1,1,1,0,0,0,15,0,0,2,1,3,29.75,33.514,35.51,29.75,32.579,26.71,41.68333333,129.4833333,80.78333333,41.68333333,100.2833333,328.6666667,102.3333333,17.11666667,38,33.76666667,1,1,1,3,6.8,13
2,Exercise,2,0,0,1,1,1,0,0,1,0.355845281,4.718324583,Friday,1,0,0,0,0,7,1,1,1,0,0,0,15,0,0,2,1,3,2.637,2.512,2.512,2.637,2.512,2.26,7.1,13.71666667,13.71666667,7.1,9.3,28.68333333,8.533333333,4.866666667,8.533333333,4.866666667,1,0,NA,3,2.3,2.3
2,Grocery,2,0,0,1,1,1,0,0,1,0.325926688,4.55962625,Friday,1,0,0,0,0,7,1,1,1,0,0,0,15,0,0,2,1,3,2.409,2.209,2.209,2.409,2.408,2.181,6.633333333,18.71666667,18.71666667,6.633333333,8.833333333,28.2,2.7,15.96666667,2.7,15.96666667,1,0,NA,3,1.5,1.5
2,Errands without Appointment,2,0,0,0,0,1,0,0,1,0.148973683,3.535281667,Friday,1,0,0,0,0,7,1,1,1,0,0,0,15,0,0,2,1,3,1.128,1.126,1.127,1.128,1.127,1.127,2.716666667,11.6,0,2.716666667,4.25,14.33333333,0.65,10.91666667,NA,NA,6,0,NA,3,1.5,NA
